"Chromosome","Position","snipdx.gene"
"chr1",1708801,NA
"chr1",2454930,NA
"chr1",3665867,NA
"chr1",4269637,NA
"chr1",4269638,NA
"chr1",4849384,NA
"chr1",4955862,NA
"chr1",5093685,NA
"chr1",5093686,NA
"chr1",5093690,NA
"chr1",5093704,NA
"chr1",5093706,NA
"chr1",5093741,NA
"chr1",5642511,NA
"chr1",6826467,NA
"chr1",7434544,NA
"chr1",7520129,NA
"chr1",8176194,NA
"chr1",8574972,NA
"chr1",8574998,NA
"chr1",8575004,NA
"chr1",8575034,NA
"chr1",8575064,NA
"chr1",9114091,NA
"chr1",9743729,NA
"chr1",10537437,NA
"chr1",10980997,NA
"chr1",10980998,NA
"chr1",11396834,NA
"chr1",12210685,NA
"chr1",12210686,NA
"chr1",13785485,NA
"chr1",14192672,NA
"chr1",14738391,NA
"chr1",15296019,NA
"chr1",15844926,NA
"chr1",16393357,NA
"chr1",17319287,NA
"chr1",17559836,NA
"chr1",17559837,NA
"chr1",17559858,NA
"chr1",17559880,NA
"chr1",17559881,NA
"chr1",17559894,NA
"chr1",17559907,NA
"chr1",18268687,NA
"chr1",18994150,NA
"chr1",19783939,NA
"chr1",20541370,NA
"chr1",20986078,NA
"chr1",21481361,NA
"chr1",22587878,NA
"chr1",23042471,NA
"chr1",23504795,NA
"chr1",24294627,NA
"chr1",24745112,NA
"chr1",25186068,NA
"chr1",25186069,NA
"chr1",25758655,NA
"chr1",26082546,NA
"chr1",26493240,NA
"chr1",26906586,NA
"chr1",27414786,NA
"chr1",28216191,NA
"chr1",28892518,NA
"chr1",29662770,NA
"chr1",29662812,NA
"chr1",29662813,NA
"chr1",29662819,NA
"chr1",29662823,NA
"chr1",29662831,NA
"chr1",30059678,NA
"chr1",30535114,NA
"chr1",30794960,NA
"chr1",31362224,NA
"chr1",31976017,NA
"chr1",32342268,NA
"chr1",33257919,NA
"chr1",33783748,NA
"chr1",34305358,NA
"chr1",34864914,NA
"chr1",35468429,NA
"chr1",37063921,NA
"chr1",37403412,NA
"chr1",37906441,NA
"chr1",38398588,NA
"chr1",38922465,NA
"chr1",39364617,NA
"chr1",39895460,NA
"chr1",40346129,NA
"chr1",40808664,NA
"chr1",41264192,NA
"chr1",41809996,NA
"chr1",42306697,NA
"chr1",42815698,NA
"chr1",43286387,NA
"chr1",43740674,NA
"chr1",44261195,NA
"chr1",44261208,NA
"chr1",44885922,NA
"chr1",45555835,NA
"chr1",45555836,NA
"chr1",46236800,NA
"chr1",46830429,NA
"chr1",46830430,NA
"chr1",47493338,NA
"chr1",48044960,NA
"chr1",48672401,NA
"chr1",49292932,NA
"chr1",49292936,NA
"chr1",49292986,NA
"chr1",49293008,NA
"chr1",49293009,NA
"chr1",49293024,NA
"chr1",49783341,NA
"chr1",50352291,NA
"chr1",50877526,NA
"chr1",51477088,NA
"chr1",52343297,NA
"chr1",52818188,NA
"chr1",53333115,NA
"chr1",53333116,NA
"chr1",53811942,NA
"chr1",53929463,NA
"chr1",53929480,NA
"chr1",53929502,NA
"chr1",53929510,NA
"chr1",53929515,NA
"chr1",53929521,NA
"chr1",53929536,NA
"chr1",54735223,NA
"chr1",55874426,NA
"chr1",55874431,NA
"chr1",55874441,NA
"chr1",55874452,NA
"chr1",55874462,NA
"chr1",55874478,NA
"chr1",55874491,NA
"chr1",55874493,NA
"chr1",55874503,NA
"chr1",55874505,NA
"chr1",55874506,NA
"chr1",55874511,NA
"chr1",55874520,NA
"chr1",55874525,NA
"chr1",56369839,NA
"chr1",56869827,NA
"chr1",56869829,NA
"chr1",56869849,NA
"chr1",56869865,NA
"chr1",56869868,NA
"chr1",56869875,NA
"chr1",56869886,NA
"chr1",56869902,NA
"chr1",56869906,NA
"chr1",57560620,NA
"chr1",57560622,NA
"chr1",57560632,NA
"chr1",57560649,NA
"chr1",57819203,NA
"chr1",57819204,NA
"chr1",57819209,NA
"chr1",57819220,NA
"chr1",57819240,NA
"chr1",57819250,NA
"chr1",57819253,NA
"chr1",57819255,NA
"chr1",57819256,NA
"chr1",57819267,NA
"chr1",58268921,NA
"chr1",58685010,NA
"chr1",59125319,NA
"chr1",59564373,NA
"chr1",59977019,NA
"chr1",60455972,NA
"chr1",60914071,NA
"chr1",61743953,NA
"chr1",62324742,NA
"chr1",62692271,NA
"chr1",63156042,NA
"chr1",63156043,NA
"chr1",63156062,NA
"chr1",63156063,NA
"chr1",63156067,NA
"chr1",63156094,NA
"chr1",63156098,NA
"chr1",63872871,NA
"chr1",64596766,NA
"chr1",65318351,NA
"chr1",66042078,NA
"chr1",66372906,NA
"chr1",67195184,NA
"chr1",67195185,NA
"chr1",67195188,NA
"chr1",67195190,NA
"chr1",67195192,NA
"chr1",67664840,NA
"chr1",68154086,NA
"chr1",68901855,NA
"chr1",68901878,NA
"chr1",68901911,NA
"chr1",69685050,NA
"chr1",69685084,NA
"chr1",69685100,NA
"chr1",70346877,NA
"chr1",70346880,NA
"chr1",70346882,NA
"chr1",70346887,NA
"chr1",70346896,NA
"chr1",70346905,NA
"chr1",70346950,NA
"chr1",70346958,NA
"chr1",70742063,NA
"chr1",71251704,NA
"chr1",71762203,NA
"chr1",72291536,NA
"chr1",72751134,NA
"chr1",72751146,NA
"chr1",72751185,NA
"chr1",73288519,NA
"chr1",73288520,NA
"chr1",73288525,NA
"chr1",73288527,NA
"chr1",73288533,NA
"chr1",73288568,NA
"chr1",73288570,NA
"chr1",73288596,NA
"chr1",73288601,NA
"chr1",73636118,NA
"chr1",73636154,NA
"chr1",73636172,NA
"chr1",73851675,NA
"chr1",73851686,NA
"chr1",73851687,NA
"chr1",73851713,NA
"chr1",73851725,NA
"chr1",73851746,NA
"chr1",73851752,NA
"chr1",74665493,NA
"chr1",75413622,NA
"chr1",75938797,NA
"chr1",75938798,NA
"chr1",76463677,NA
"chr1",76990862,NA
"chr1",77547831,NA
"chr1",78133080,NA
"chr1",78687580,NA
"chr1",78687581,NA
"chr1",79263252,NA
"chr1",79820605,NA
"chr1",79820617,NA
"chr1",79820622,NA
"chr1",79820630,NA
"chr1",79820655,NA
"chr1",79820666,NA
"chr1",80393420,NA
"chr1",80393422,NA
"chr1",80393459,NA
"chr1",80393480,NA
"chr1",80413765,NA
"chr1",80413766,NA
"chr1",80413767,NA
"chr1",80827756,NA
"chr1",81258873,NA
"chr1",81258877,NA
"chr1",81258889,NA
"chr1",81258910,NA
"chr1",81258934,NA
"chr1",81258937,NA
"chr1",81258943,NA
"chr1",81709135,NA
"chr1",81709140,NA
"chr1",81709143,NA
"chr1",81709153,NA
"chr1",81709155,NA
"chr1",81709161,NA
"chr1",81709172,NA
"chr1",81709179,NA
"chr1",81709181,NA
"chr1",81709193,NA
"chr1",82304668,NA
"chr1",82745884,NA
"chr1",82745885,NA
"chr1",82745909,NA
"chr1",82745930,NA
"chr1",82745946,NA
"chr1",82745961,NA
"chr1",82772315,NA
"chr1",82772316,NA
"chr1",82772325,NA
"chr1",82772338,NA
"chr1",82772348,NA
"chr1",82772365,NA
"chr1",82772368,NA
"chr1",82772370,NA
"chr1",82939537,NA
"chr1",83024692,NA
"chr1",84022929,NA
"chr1",84465545,NA
"chr1",85206476,NA
"chr1",85206477,NA
"chr1",85923920,NA
"chr1",85923931,NA
"chr1",85923945,NA
"chr1",85923970,NA
"chr1",85923971,NA
"chr1",85923997,NA
"chr1",85923999,NA
"chr1",86465393,NA
"chr1",86465394,NA
"chr1",86465413,NA
"chr1",86465453,NA
"chr1",87204961,NA
"chr1",87922649,NA
"chr1",88604157,NA
"chr1",89271574,NA
"chr1",89952556,NA
"chr1",89952557,NA
"chr1",90640945,NA
"chr1",91306464,NA
"chr1",91306465,NA
"chr1",92017684,NA
"chr1",92017740,NA
"chr1",92017749,NA
"chr1",92588993,NA
"chr1",92961332,NA
"chr1",92961336,NA
"chr1",92961345,NA
"chr1",92961375,NA
"chr1",92961377,NA
"chr1",92961410,NA
"chr1",93522606,NA
"chr1",93522607,NA
"chr1",94115299,NA
"chr1",94659394,NA
"chr1",95236281,NA
"chr1",95823975,NA
"chr1",95823991,NA
"chr1",95824000,NA
"chr1",95824022,NA
"chr1",95824035,NA
"chr1",95824039,NA
"chr1",95824043,NA
"chr1",96258925,NA
"chr1",96948002,NA
"chr1",97580323,NA
"chr1",98336823,NA
"chr1",98900726,NA
"chr1",98900782,NA
"chr1",98900792,NA
"chr1",98900793,NA
"chr1",98900807,NA
"chr1",98900818,NA
"chr1",99589424,NA
"chr1",99780284,NA
"chr1",100388748,NA
"chr1",101013982,NA
"chr1",101656407,NA
"chr1",102237818,NA
"chr1",103658924,NA
"chr1",103658930,NA
"chr1",103658936,NA
"chr1",103658941,NA
"chr1",103658946,NA
"chr1",103658983,NA
"chr1",104383975,NA
"chr1",104383984,NA
"chr1",104383989,NA
"chr1",104384009,NA
"chr1",104384024,NA
"chr1",104384037,NA
"chr1",104956392,NA
"chr1",105504651,NA
"chr1",105504653,NA
"chr1",105504678,NA
"chr1",105504684,NA
"chr1",105504685,NA
"chr1",105504694,NA
"chr1",105504698,NA
"chr1",105504701,NA
"chr1",105504702,NA
"chr1",105504712,NA
"chr1",105504716,NA
"chr1",105941906,NA
"chr1",105941915,NA
"chr1",105941934,NA
"chr1",105941962,NA
"chr1",105941964,NA
"chr1",105941966,NA
"chr1",106053803,NA
"chr1",106792708,NA
"chr1",107441688,NA
"chr1",107441694,NA
"chr1",107441713,NA
"chr1",107441718,NA
"chr1",107441719,NA
"chr1",107441730,NA
"chr1",107441731,NA
"chr1",107441744,NA
"chr1",107441745,NA
"chr1",108079945,NA
"chr1",108744934,NA
"chr1",109490457,NA
"chr1",110198218,NA
"chr1",110988988,NA
"chr1",110989018,NA
"chr1",110989020,NA
"chr1",110989051,NA
"chr1",110989088,NA
"chr1",111546531,NA
"chr1",112135194,NA
"chr1",112683572,NA
"chr1",113234456,NA
"chr1",113829208,NA
"chr1",114427293,NA
"chr1",115027031,NA
"chr1",115614676,NA
"chr1",115614717,NA
"chr1",115614731,NA
"chr1",115614740,NA
"chr1",116333734,NA
"chr1",116801420,NA
"chr1",117273534,NA
"chr1",117832497,NA
"chr1",118223984,NA
"chr1",118346219,NA
"chr1",118786863,NA
"chr1",119690358,NA
"chr1",120199189,NA
